dish_id,,calories,mass,fat,carb,protein,,,,
dish_1560453174,,1.287954094,256,0.07087943,0.041100992,0.1255375,,,,
dish_1551226363,,0.35,49,0.004,0.07,0.024,,,,
dish_1562691032,,1.01128121,415,0.053108022,0.094117653,0.043246602,,,,
dish_1551374440,,0.889999963,54,0.003,0.23,0.011,,,,
dish_1563824250,,0.400000023,43,0.001,0.09,0.011,,,,
dish_1560543755,,0.97698836,264,0.033665924,0.10361839,0.065926155,,,,
dish_1558549773,,0.23,10,0.004,0.036,0.029,,,,
dish_1563822597,,0.337500011,176,0.012333335,0.043333335,0.023333335,,,,
dish_1551492561,,2.251144698,159,0.180207547,0.046830189,0.113522019,,,,
dish_1566920365,,0.563055904,871,0.006113018,0.047524186,0.069662429,,,,
dish_1563984242,,0.534019967,753,0.004385644,0.048897226,0.065614556,,,,
dish_1551237016,,2.5,37,0.15,0,0.26,,,,
dish_1551489812,,1.15,65,0.107,0.063,0.008,,,,
dish_1558459276,,1.299999962,79,0.003,0.280000013,0.027,,,,
dish_1560974707,,0.9170854,60,0.033392433,0.118144867,0.04987675,,,,
dish_1564686855,,2.368185391,435,0.11980797,0.197541002,0.130679322,,,,
dish_1565119669,,0.244388646,229,0.0045,0.047344978,0.014290393,,,,
dish_1566417516,,0.906829475,425,0.085921111,0.055305974,0.079293115,,,,
dish_1558724031,,1.183864683,303,0.085151818,0.085115508,0.046425743,,,,
dish_1551494178,,1.607217409,230,0.063134783,0.156834778,0.115095661,,,,
dish_1551233434,,0.261826923,104,0.002807692,0.049826923,0.022442308,,,,
dish_1551390304,,0.610000031,65,0.005,0.15,0.011,,,,
dish_1558637393,,5.781000141,128,0.495000008,0.227,0.224000008,,,,
dish_1563393217,,0.215921066,228,0.002051171,0.042994158,0.012568715,,,,
dish_1562789268,,1.627175817,350,0.064953003,0.185019509,0.093101871,,,,
dish_1563998323,,1.105409523,574,0.056596343,0.061502669,0.092272676,,,,
dish_1568144803,,0.711055634,93,0.043554118,0.086760118,0.008589849,,,,
dish_1551487158,,1.149999939,82,0.107,0.063,0.008,,,,
dish_1559700851,,1.131294185,54,0.107911778,0.035130722,0.021326796,,,,
dish_1561997365,,0.588999976,168,0.004,0.036,0.100000006,,,,
dish_1551395233,,1.23371685,113,0.018530973,0.052778761,0.21559292,,,,
dish_1561492204,,1.462983,334,0.046964916,0.147068,0.111357488,,,,
dish_1567613057,,0.542972377,749,0.006633495,0.061231657,0.054336716,,,,
dish_1563996485,,0.88576709,201,0.057749463,0.082423368,0.020760706,,,,
dish_1550775393,,2.426205006,166,0.181283145,0.169819271,0.078150602,,,,
dish_1564761488,,0.976148878,336,0.024875,0.120711304,0.064687503,,,,
dish_1551376970,,0.681467386,184,0.006543478,0.161413038,0.014798913,,,,
dish_1559239151,,0.23,40,0.004,0.036,0.029,,,,
dish_1559678330,,1.131294147,150,0.107911773,0.03513072,0.021326793,,,,
dish_1563998210,,1.627354044,91,0.054494418,0.023771286,0.24851533,,,,
dish_1565033110,,0.32380951,147,0.004,0.063639456,0.023251701,,,,
dish_1564428444,,0.566790751,277,0.037282996,0.053966913,0.017010953,,,,
dish_1558459115,,0.911208084,298,0.035194628,0.145835581,0.022201342,,,,
dish_1564082178,,1.578171302,348,0.045313549,0.028640951,0.24882196,,,,
dish_1550707756,,2.5,35,0.15,0,0.259999971,,,,
dish_1558723777,,0.520000007,143,0.002,0.14,0.003,,,,
dish_1558721757,,5.781000353,133,0.494999992,0.227,0.224000015,,,,
dish_1551227216,,0.22,24,0.003,0.033,0.031,,,,
dish_1564777960,,2.251751748,147,0.11370981,0.110682272,0.179804082,,,,
dish_1551492702,,0.25,114,0.003,0.05,0.018,,,,
dish_1563378110,,0.861291504,405,0.029061869,0.077734079,0.065382022,,,,
dish_1558376306,,3.445999991,108,0.273000009,0.042,0.193,,,,
dish_1558114086,,0.520000007,143,0.002,0.003,0.14,,,,
dish_1550771267,,0.349999983,58,0.004,0.07,0.024,,,,
dish_1551390215,,0.35,43,0.004,0.07,0.024,,,,
dish_1558720236,,2.181383437,407,0.163243248,0.148552823,0.078410324,,,,
dish_1563468269,,0.427185464,302,0.001854305,0.108483447,0.005854305,,,,
dish_1558380557,,3.298679566,212,0.256792462,0.117735854,0.154396236,,,,
dish_1562873028,,0.876066875,320,0.050387119,0.106975628,0.065511453,,,,
dish_1551565884,,0.57,44,0.003,0.14,0.007,,,,
dish_1558637769,,0.519999961,154,0.002,0.139999994,0.003,,,,
dish_1564415022,,0.51999997,133,0.002,0.007,0.1,,,,
dish_1558724959,,1.364887221,426,0.085600939,0.133812211,0.049995305,,,,
dish_1551391034,,0.679999986,72,0.014,0.119999986,0.024,,,,
dish_1558115867,,5.78099987,23,0.495,0.227,0.224,,,,
dish_1551391302,,0.340000013,79,0.002,0.08,0.008,,,,
dish_1551222877,,2.179999979,48,0.029,0.449999958,0.06,,,,
dish_1561580370,,1.022547387,124,0.040028468,0.130656532,0.043629032,,,,
dish_1551223114,,1.245,100,0.01576,0.25859999,0.03936,,,,
dish_1562618000,,1.531236375,448,0.080589243,0.068797862,0.132052848,,,,
dish_1561061658,,0.995595317,227,0.054116656,0.108716463,0.039424,,,,
dish_1559838402,,0.956049382,233,0.016296137,0.185214588,0.022527897,,,,
dish_1566242164,,0.492049696,161,0.027763975,0.061434789,0.009397516,,,,
dish_1550775363,,2.426204819,166,0.181283133,0.169819283,0.078150602,,,,
dish_1564686832,,2.116677421,392,0.101358337,0.164582505,0.13821302,,,,
dish_1566502211,,0.439999996,237,0.021,0.043,0.032000004,,,,
dish_1551314967,,1.022302094,139,0.051172662,0.114820151,0.055935252,,,,
dish_1561753238,,0.894998177,333,0.041175345,0.042122015,0.086730024,,,,
dish_1566938026,,2.057426,219,0.080122849,0.171398667,0.153011425,,,,
dish_1562617703,,1.633000045,110,0.059,0.245000009,0.041,,,,
dish_1551125357,,0.340000015,68,0.007,0.068,0.007,,,,
dish_1559751801,,1.316722991,343,0.064256563,0.095562682,0.085212831,,,,
dish_1564000490,,1.639096868,325,0.058923083,0.152737378,0.122799588,,,,
dish_1551389684,,0.204,33,0.001,0.039,0.022,,,,
dish_1564000459,,2.235882456,217,0.077797253,0.207353212,0.167990161,,,,
dish_1558457530,,0.25,64,0.003,0.05,0.018,,,,
dish_1551563213,,1.000656905,137,0.049321168,0.080321168,0.069510949,,,,
dish_1558723449,,0.520000007,143,0.002,0.14,0.003,,,,
dish_1567628157,,1.051242194,355,0.101461115,0.072864904,0.105576572,,,,
dish_1566502505,,1.652790418,275,0.0816716,0.120533822,0.115908862,,,,
dish_1565728415,,2.430346875,80,0.105066238,0.20905495,0.150069163,,,,
dish_1550775318,,6.070000109,55,0.540000018,0.209999982,0.2,,,,
dish_1565383026,,0.597770028,287,0.048888502,0.042505223,0.012874564,,,,
dish_1558642089,,0.41000001,96,0.002,0.1,0.009,,,,
dish_1566849923,,0.533208338,240,0.0313125,0.067558338,0.008720833,,,,
dish_1550863247,,0.52,33,0.002,0.14,0.003,,,,
dish_1550772027,,0.46690143,142,0.003971831,0.108,0.010394366,,,,
dish_1550797833,,1.738119036,168,0.104642857,0.113678571,0.083827381,,,,
dish_1562959732,,1.614929724,232,0.063267914,0.134099056,0.124392228,,,,
dish_1560368972,,1.839630131,107,0.081271336,0.127301131,0.137134953,,,,
dish_1566502537,,1.643315003,315,0.077054698,0.108864873,0.132786717,,,,
dish_1561576590,,0.289420475,101,0.012823673,0.033538842,0.008877931,,,,
dish_1558723866,,0.25,59,0.003,0.05,0.018,,,,
dish_1564778030,,1.782395004,283,0.112738463,0.083089276,0.10874188,,,,
dish_1551222759,,0.4,37,0.002,0.09,0.02,,,,
dish_1551380950,,4.019999905,21,0.33,0.013,0.25,,,,
dish_1561392512,,0.57,75,0.003,0.14,0.007,,,,
dish_1564675118,,0.744490681,238,0.01714634,0.143383088,0.008540891,,,,
dish_1566838407,,0.643275271,558,0.017608708,0.111864418,0.017439898,,,,
dish_1559319860,,5.410000154,13,0.42,0.014,0.37,,,,
dish_1559242568,,0.572000025,203,0.001,0.151999995,0.004,,,,
dish_1563824339,,0.48765712,175,0.023354286,0.069,0.011988571,,,,
dish_1551306452,,1.4,70,0.006,0.239999986,0.09,,,,
dish_1567021831,,1.107173785,228,0.119369908,0.036090004,0.099618969,,,,
dish_1559846099,,1.815254342,114,0.128438605,0.137833325,0.067438596,,,,
dish_1562873155,,0.52325,79,0.025975,0.06825,0.01755,,,,
dish_1562094621,,0.31,34,0.001,0.07,0.018,,,,
dish_1563900150,,1.313614286,154,0.082760532,0.066784929,0.071286026,,,,
dish_1551390979,,0.610000022,91,0.005,0.150000011,0.011,,,,
dish_1562086702,,5.40999997,33,0.42,0.014,0.37,,,,
dish_1564429894,,0.881218792,566,0.020881673,0.129914731,0.044618489,,,,
dish_1561662458,,1.048869731,119,0.040805353,0.176934311,0.026910824,,,,
dish_1558720364,,0.519999972,142,0.002,0.139999993,0.003,,,,
dish_1559845290,,0.770000012,86,0.001,0.17,0.02,,,,
dish_1550707156,,1.925379146,335,0.129191042,0.079420893,0.104898504,,,,
dish_1559844506,,0.549777772,180,0.00255,0.139444444,0.007288889,,,,
dish_1560360055,,2.015188939,180,0.154372217,0.023077778,0.125316661,,,,
dish_1551488861,,3.446000111,63,0.272999984,0.042,0.193,,,,
dish_1567106825,,2.117316029,104,0.162549529,0.032285885,0.12943149,,,,
dish_1562099053,,2.658999892,37,0.094,0.335,0.112,,,,
dish_1560453380,,0.85705916,480,0.031738075,0.053107281,0.087339067,,,,
dish_1566849327,,1.524038746,362,0.086342539,0.041077348,0.152270724,,,,
dish_1560527191,,2.088016726,318,0.14275444,0.090986091,0.108114591,,,,
dish_1563898786,,1.223629265,344,0.091483227,0.033219488,0.068709407,,,,
dish_1551381829,,0.204,13,0.001,0.039,0.022,,,,
dish_1551376692,,0.959999977,43,0.015,0.21,0.034,,,,
dish_1551565752,,0.933206107,131,0.02129771,0.104122137,0.082236641,,,,
dish_1560973958,,1.200935802,121,0.051356917,0.171320198,0.035638612,,,,
dish_1558546663,,1.678852838,197,0.11222336,0.153624365,0.053812183,,,,
dish_1550861432,,0.569999979,47,0.003,0.14,0.007,,,,
dish_1551393210,,2.549105195,190,0.183268437,0.163847374,0.0990579,,,,
dish_1563206582,,0.71640215,320,0.013803775,0.053024291,0.081356138,,,,
dish_1565207815,,0.510602663,80,0.012794588,0.088675288,0.033480938,,,,
dish_1551236712,,0.47,69,0.001,0.12,0.009,,,,
dish_1568305257,,1.993208967,420,0.155944969,0.022174405,0.123983293,,,,
dish_1550712024,,0.34,88,0.007,0.068,0.007,,,,
dish_1551139367,,0.74047619,105,0.017742857,0.089714286,0.064142857,,,,
dish_1568314823,,1.6,90,0.150000011,0.09,0.02,,,,
dish_1565119464,,2.260381314,223,0.103631108,0.199165874,0.125748354,,,,
dish_1565725047,,0.705999964,110,0.044,0.0852,0.0086,,,,
dish_1551236011,,0.917654726,307,0.01457329,0.071648202,0.12523128,,,,
dish_1550705623,,0.4,51,0.002,0.09,0.02,,,,
dish_1559841163,,1.065801546,335,0.054394036,0.08220597,0.06314329,,,,
dish_1563568338,,1.702713383,371,0.079785771,0.155253674,0.104325267,,,,
dish_1551395512,,0.5,51,0.001,0.13,0.005,,,,
dish_1563468299,,0.546363652,385,0.010724675,0.092425974,0.028306494,,,,
dish_1558027001,,0.300000029,68,0.001,0.076,0.006,,,,
dish_1551568059,,0.289999984,123,0.003,0.090000008,0.011,,,,
dish_1565033265,,2.118535938,625,0.170148803,0.030723203,0.122662402,,,,
dish_1551323574,,0.680000011,91,0.014,0.12,0.024,,,,
dish_1551491271,,1.45,30,0.06,0.015,0.21,,,,
dish_1563475921,,0.702135986,348,0.019321414,0.0780605,0.056895586,,,,
dish_1561665024,,0.831165157,121,0.057724496,0.073955083,0.017696934,,,,
dish_1550710448,,0.73,67,0.048,0.019,0.08,,,,
dish_1563813308,,2.96030125,76,0.216397289,0.051337645,0.201740474,,,,
dish_1551235600,,0.469999978,178,0.001,0.119999994,0.009,,,,
dish_1561062555,,1.471685063,32,0.098361531,0.137667656,0.032116625,,,,
dish_1558723414,,1.060999959,49,0.024,0.22,0.031,,,,
dish_1562691674,,0.86661349,435,0.026064943,0.097869697,0.060879064,,,,
dish_1566591080,,1.656884477,549,0.079259328,0.035298217,0.188647202,,,,
dish_1550862648,,0.519999968,31,0.002,0.14,0.003,,,,
dish_1564082462,,1.486624782,609,0.052663099,0.066556514,0.178690493,,,,
dish_1562602860,,0.640241399,258,0.021791298,0.080752911,0.039558965,,,,
dish_1568217372,,2.085722,244,0.168356881,0.026653803,0.111128393,,,,
dish_1561739954,,1.227199978,225,0.071377773,0.073582222,0.0684,,,,
dish_1558638983,,1.061,56,0.024,0.22,0.031,,,,
dish_1558631825,,1.061000009,112,0.024,0.219999991,0.031,,,,
dish_1564689108,,1.280895975,159,0.099789283,0.082746535,0.03100295,,,,
dish_1563216440,,1.147120301,352,0.018387369,0.113232645,0.12696406,,,,
dish_1559240908,,0.47,128,0.001,0.12,0.009,,,,
dish_1563395480,,1.126204933,329,0.042877146,0.096716049,0.088637681,,,,
dish_1559235815,,1.314906791,268,0.060761194,0.116917918,0.073241787,,,,
dish_1565640272,,0.932888906,405,0.034340738,0.12281482,0.040888886,,,,
dish_1565898158,,1.239307995,194,0.053057531,0.052831969,0.130538624,,,,
dish_1564415077,,0.804444492,189,0.034,0.009666667,0.1,,,,
dish_1551237348,,0.585129122,271,0.008273063,0.105110705,0.034442804,,,,
dish_1565022062,,0.641001593,366,0.00777629,0.084436822,0.052653139,,,,
dish_1558719994,,5.781000353,133,0.494999992,0.227,0.224000015,,,,
dish_1562960520,,1.394056967,303,0.064884393,0.104671957,0.097508917,,,,
dish_1550769948,,1.042343698,192,0.047375,0.10371875,0.05171875,,,,
dish_1560441270,,0.533478283,46,0.001369565,0.115304348,0.018152174,,,,
dish_1561663855,,1.288765554,139,0.053202964,0.103666108,0.109976619,,,,
dish_1563389199,,1.374135408,284,0.029131968,0.247220831,0.058090236,,,,
dish_1566488928,,0.701008803,147,0.015099054,0.135934973,0.009027374,,,,
dish_1558031302,,0.77,74,0.001,0.17,0.02,,,,
dish_1558723926,,0.18,107,0.002,0.039,0.009,,,,
dish_1563392128,,1.048976759,162,0.116129136,0.040048012,0.130451981,,,,
dish_1550711094,,1.044117647,102,0.043784324,0.081176471,0.083529412,,,,
dish_1563910171,,1.350316258,423,0.064505251,0.058956634,0.126733749,,,,
dish_1560368464,,1.270727095,275,0.065681582,0.061116709,0.105640695,,,,
dish_1550771648,,2.842963046,108,0.224814824,0.170740731,0.077407407,,,,
dish_1551392590,,0.22,23,0.003,0.033,0.031,,,,
dish_1560368990,,1.780851345,119,0.083879639,0.120938571,0.125934143,,,,
dish_1562958563,,1.924117588,68,0.143632353,0.0395,0.119970588,,,,
dish_1561579617,,0.428198513,304,0.014976395,0.069460141,0.014563661,,,,
dish_1566333167,,2.461032107,140,0.103581157,0.225956671,0.144960321,,,,
dish_1565033139,,0.706751803,274,0.051740876,0.063343062,0.016182482,,,,
dish_1563551194,,1.179108888,400,0.035114638,0.144177303,0.06960701,,,,
dish_1563464480,,1.077417864,213,0.051258216,0.121305169,0.038976526,,,,
dish_1551563824,,1.64999993,43,0.036,0,0.31,,,,
dish_1567020054,,0.841389041,145,0.07958649,0.054741076,0.098000545,,,,
dish_1568649387,,0.853428047,192,0.027616661,0.148379047,0.013087438,,,,
dish_1565370004,,1.5429318,370,0.112582232,0.030377703,0.099669327,,,,
dish_1550790511,,0.616725619,113,0.060212381,0.048371681,0.090752212,,,,
dish_1566499633,,1.161053446,139,0.102039597,0.060622266,0.021755137,,,,
dish_1559849412,,5.781000361,61,0.495,0.227,0.224000016,,,,
dish_1551139606,,0.393999987,150,0.002413333,0.0876,0.020586667,,,,
dish_1558719336,,0.25,97,0.003,0.05,0.018,,,,
dish_1551379331,,0.989999972,36,0.003,0.002,0.239999972,,,,
dish_1562602657,,2.586293106,236,0.186735801,0.131423271,0.103068903,,,,
dish_1558116201,,3.445999989,91,0.273,0.042,0.193,,,,
dish_1559668314,,1.838486737,300,0.127179997,0.109440003,0.070116667,,,,
dish_1563551432,,1.710366689,389,0.125464638,0.03750829,0.106435468,,,,
dish_1567711272,,2.660000014,71,0.097,0.33,0.11,,,,
dish_1557861697,,0.248,53,0.002,0.059,0.01,,,,
dish_1558721484,,0.180000016,62,0.002,0.039,0.009,,,,
dish_1565379251,,0.491583463,67,0.011831179,0.098640164,0.008884776,,,,
dish_1551565289,,0.512965093,172,0.032645349,0.059110465,0.014360465,,,,
dish_1566242273,,1.055681284,521,0.021370443,0.030309021,0.177531662,,,,
dish_1563306392,,1.657864993,288,0.048541566,0.019828122,0.270053733,,,,
dish_1551374332,,0.822533864,221,0.003570136,0.189095027,0.014746606,,,,
dish_1559843335,,0.330000026,77,0.003,0.08,0.007,,,,
dish_1550777469,,5.360000167,18,0.35,0.529999944,0.07,,,,
dish_1558549214,,0.662576183,361,0.002,0.149238238,0.015822715,,,,
dish_1562775488,,0.629241366,145,0.001089655,0.085744834,0.059034483,,,,
dish_1551317998,,0.61,47,0.005,0.15,0.011,,,,
dish_1562787956,,0.44,61,0.021,0.043,0.032,,,,
dish_1562775212,,0.680000022,136,0.014,0.12,0.024,,,,
dish_1560801773,,0.25,54,0.003,0.05,0.018,,,,
dish_1559238435,,0.57200003,202,0.001,0.151999995,0.004,,,,
dish_1562008813,,0.953747831,225,0.069206627,0.069324347,0.026798507,,,,
dish_1551391710,,5.409999632,19,0.42,0.014,0.37,,,,
dish_1568061202,,0.768118578,334,0.022965521,0.117220713,0.028264647,,,,
dish_1560445069,,0.389,243,0.001,0.090999996,0.005,,,,
dish_1566502573,,1.686879246,487,0.088719158,0.124677998,0.105111437,,,,
dish_1563900172,,0.927986655,255,0.050773027,0.072019137,0.046219796,,,,
dish_1562785132,,1.101784786,192,0.128129167,0.054129156,0.150810182,,,,
dish_1565383097,,1.114532542,430,0.060300002,0.031006974,0.116332556,,,,
dish_1559233102,,1.480000032,124,0.11,0.016,0.100000008,,,,
dish_1560357427,,0.389000004,241,0.001,0.091,0.005,,,,
dish_1568401261,,1.197276235,443,0.05948244,0.078065386,0.088334,,,,
dish_1558031628,,0.340000011,92,0.002,0.08,0.008,,,,
dish_1558029148,,0.360000009,108,0.001,0.09,0.005,,,,
dish_1558461431,,0.23,5,0.004,0.036,0.029,,,,
dish_1562790824,,1.187694799,368,0.135406288,0.052374668,0.135488916,,,,
dish_1551567848,,1.149999952,63,0.107,0.063,0.008,,,,
dish_1558718610,,1.061,107,0.024,0.219999991,0.031,,,,
dish_1562959129,,1.409124901,293,0.075690877,0.161689406,0.084204795,,,,
dish_1560975517,,0.428181808,99,0.018767677,0.046545455,0.030949495,,,,
dish_1558641075,,0.18,69,0.002,0.039,0.009,,,,
dish_1560455158,,1.256742727,55,0.107136764,0.064205891,0.026060291,,,,
dish_1565972715,,1.289305563,510,0.091853384,0.030709894,0.084640794,,,,
dish_1558639787,,0.25,99,0.003,0.05,0.018,,,,
dish_1560203424,,3.273579696,138,0.161391297,0.363855058,0.105710138,,,,
dish_1558724912,,0.41,75,0.002,0.1,0.009,,,,
dish_1563913675,,1.239882219,228,0.054887066,0.139688224,0.053378939,,,,
dish_1567542876,,1.906952842,260,0.080780712,0.175800135,0.113538096,,,,
dish_1561753075,,1.415674723,668,0.071013193,0.069336588,0.12378366,,,,
dish_1559244305,,1.766662484,64,0.110081406,0.153638078,0.054427047,,,,
dish_1561577573,,2.183332145,346,0.117452876,0.072209711,0.190935853,,,,
dish_1563550614,,0.647923839,205,0.008553244,0.0563492,0.073587151,,,,
dish_1550776957,,2.13109985,100,0.10728,0.24049999,0.07226,,,,
dish_1565204891,,0.96460651,314,0.028918854,0.130349347,0.051901914,,,,
dish_1551395800,,0.768474576,118,0.00179661,0.174322034,0.016644068,,,,
dish_1558115011,,5.78100015,20,0.495,0.227,0.224,,,,
dish_1562776497,,0.999426226,292,0.045224034,0.112231476,0.039842918,,,,
dish_1559675234,,0.308083342,120,0.002258333,0.067791667,0.017291667,,,,
dish_1565638323,,1.707389332,274,0.075711299,0.106747445,0.139788898,,,,
dish_1550706177,,0.34,87,0.007,0.068,0.007,,,,
dish_1550773394,,0.4,50,0.002,0.09,0.02,,,,
dish_1561405836,,2.659000032,31,0.094,0.335,0.112,,,,
dish_1565898659,,1.07393767,537,0.021319782,0.030004227,0.181086464,,,,
dish_1562169818,,1.261162444,275,0.082795495,0.061808993,0.071832905,,,,
dish_1559934679,,1.101681226,146,0.049709432,0.030946253,0.129458911,,,,
dish_1562698276,,1.415580326,307,0.055064091,0.117252834,0.104208472,,,,
dish_1558718051,,0.25,97,0.003,0.05,0.018,,,,
dish_1560368764,,0.767032989,270,0.056169585,0.051914959,0.02960177,,,,
dish_1563563317,,1.37238881,252,0.090083341,0.032984127,0.113027778,,,,
dish_1565895966,,0.747541314,287,0.034605749,0.058539216,0.0576433,,,,
dish_1566933226,,1.435377246,171,0.045520614,0.113725509,0.131884661,,,,
dish_1550712079,,0.348761895,210,0.004695238,0.0721,0.015495238,,,,
dish_1558458737,,1.299999938,32,0.003,0.28,0.027,,,,
dish_1561392593,,1.089368991,325,0.074647588,0.058890668,0.050432615,,,,
dish_1566416421,,0.854882512,367,0.050122763,0.099854294,0.033495605,,,,
dish_1562009120,,0.654863959,146,0.035943349,0.042861397,0.064068815,,,,
dish_1560444869,,0.360000026,39,0.001,0.09,0.005,,,,
dish_1550789255,,0.492884609,156,0.037846154,0.052423077,0.057205128,,,,
dish_1562872365,,0.129999987,76,0.002,0.022,0.015,,,,
dish_1564773903,,0.942939122,336,0.047877318,0.074676179,0.058274786,,,,
dish_1563910137,,0.931086652,141,0.063147652,0.085013149,0.017940121,,,,
dish_1561661347,,0.383863621,132,0.012363636,0.054659091,0.025954545,,,,
dish_1558721726,,0.520000007,143,0.002,0.14,0.003,,,,
dish_1566931586,,0.975269936,389,0.039282779,0.039912594,0.119778915,,,,
dish_1551493723,,3.446000019,52,0.273,0.042,0.193,,,,
dish_1563908923,,0.439999991,112,0.021,0.043,0.032,,,,
dish_1563552016,,2.836718856,174,0.111937511,0.402031253,0.061718753,,,,
dish_1562784307,,1.009669599,157,0.03256651,0.158759841,0.03616635,,,,
dish_1551304608,,1.208654839,223,0.076605381,0.085300444,0.053443942,,,,
dish_1551318068,,0.959999939,33,0.015,0.21,0.034,,,,
dish_1564761388,,0.519999981,105,0.002,0.007,0.1,,,,
dish_1561576295,,1.073565254,232,0.069328595,0.103152323,0.017393526,,,,
dish_1551399484,,2.99108688,92,0.1975,0.281956511,0.074347826,,,,
dish_1562876618,,2.658999953,43,0.094,0.335000023,0.112,,,,
dish_1558722247,,1.762728945,343,0.125892128,0.136361513,0.062653061,,,,
dish_1551304349,,0.25,121,0.003,0.05,0.018,,,,
dish_1565640427,,4.660999833,42,0.288,0.498,0.062,,,,
dish_1559841808,,0.76156251,96,0.0059375,0.181041656,0.0134375,,,,
dish_1551139535,,0.4,34,0.002,0.09,0.02,,,,
dish_1551399031,,4.019999833,12,0.33,0.013,0.25,,,,
dish_1560788349,,0.588999963,134,0.004,0.036,0.100000007,,,,
dish_1566847431,,1.124894544,90,0.021367411,0.1914675,0.041887111,,,,
dish_1565726812,,0.557073154,65,0.028292677,0.068292677,0.023414631,,,,
dish_1550860444,,0.897489208,231,0.022735931,0.140571429,0.034770563,,,,
dish_1561061687,,1.245950363,408,0.059026456,0.080861944,0.102288919,,,,
dish_1551305209,,0.670520859,192,0.012770833,0.12448437,0.026953125,,,,
dish_1563996279,,0.354280651,278,0.006812018,0.070995755,0.014065371,,,,
dish_1558115448,,0.690000011,94,0.002,0.18,0.007,,,,
dish_1559843030,,0.330000026,77,0.003,0.08,0.007,,,,
dish_1551487288,,0.73,42,0.048,0.019,0.08,,,,
dish_1566246902,,2.658999843,89,0.094,0.335000011,0.112,,,,
dish_1550710207,,1.649999934,91,0.036,0,0.310000011,,,,
dish_1564073860,,5.409999978,91,0.419999967,0.014,0.370000022,,,,
dish_1561739973,,1.054892839,280,0.058142854,0.072878571,0.059678568,,,,
dish_1565811091,,1.359568798,371,0.047525606,0.024420485,0.201431275,,,,
dish_1559240441,,0.330000017,59,0.003,0.08,0.007,,,,
dish_1550790252,,0.899999961,51,0.13,0,0.184,,,,
dish_1565984434,,0.743935588,430,0.029644198,0.084563056,0.041807774,,,,
dish_1563811686,,0.965040408,331,0.052303758,0.07818661,0.049208921,,,,
dish_1561060925,,0.602018256,156,0.027463506,0.05964391,0.052863878,,,,
dish_1561663817,,1.110411267,86,0.058065047,0.149902547,0.024409151,,,,
dish_1566922978,,1.48,84,0.11,0.016,0.100000012,,,,
dish_1551228830,,1.38,29,0.021,0.25,0.045,,,,
dish_1557861216,,0,1,0,0,0,,,,
dish_1566316587,,2.079640084,311,0.163424576,0.067322267,0.086523122,,,,
dish_1560367715,,1.959118652,305,0.087475754,0.133815289,0.145961698,,,,
dish_1561575613,,1.234449114,70,0.117302186,0.040263,0.023998486,,,,
dish_1558639266,,1.060999966,29,0.024,0.22,0.031,,,,
dish_1551567650,,0.204,24,0.001,0.039,0.022,,,,
